key,numeric type,string type,ID,time ratio,number of line segments,mean speed,standard deviation in speed,number of acceleration points,length,ratio of width to length,type of cargo,receiver class,number of neighbors
CALLWDK8866_MMSI368098220,31,Tug Tow,call sign,0.6085,0.515,0.426,0.4768,0.9973,0.525,0.3478,2.5,A,0.3402
CALLWDK8869_MMSI368098250,37,Pleasure Craft/Sailing,call sign,0.2242,0.5125,0.4813,0.4951,0.4502,0.2891,0.3077,0,B,0.0046
CALLWDK8925_MMSI368098790,0,Unknown,call sign,0.0097,0.5025,0.429,0.4713,0.4502,0.6225,0.3704,2.8,A,0.0046
CALLWDK8939_MMSI368098930,60,Passenger,call sign,0.0009,0.495,0.4317,0.4884,0.4502,0.6682,0.3448,0.0,A,0.0046
CALLWDK8963_MMSI368123350,37,Pleasure Craft/Sailing,call sign,0.0211,0.505,0.6466,0.5258,0.4502,0.2689,0.3333,0,B,0.0046
CALLWDK9031_MMSI368099750,37,Pleasure Craft/Sailing,call sign,0.0004,0.495,0.3539,0.4663,0.4502,0.2142,0.2222,0,B,0.0046
CALLWDK9066_MMSI368100090,37,Pleasure Craft/Sailing,call sign,0.0507,0.5,0.3691,0.4782,0.4502,0.8581,0.2,0,B,0.0046
CALLWDK9079_MMSI368100230,37,Pleasure Craft/Sailing,call sign,0.048,0.5075,0.51,0.4724,0.4502,0.3775,0.2941,0,B,0.0046
CALLWDK9083_MMSI368100260,36,Pleasure Craft/Sailing,call sign,0.2141,0.515,0.4287,0.4682,0.4502,0.2689,0.25,0,B,0.3655
CALLWDK9106_MMSI368100490,37,Pleasure Craft/Sailing,call sign,0.0363,0.51,0.5377,0.4947,0.4502,0.3318,0.2667,0,B,0.4293
CALLWDK9155_MMSI368100980,99,Other,call sign,0.0427,0.5075,0.4158,0.4725,0.4502,0.1978,0.625,1.5,A,0.0046
CALLWDK9158_MMSI366520000,37,Pleasure Craft/Sailing,call sign,0.0246,0.5075,0.6142,0.4915,0.5744,0.6682,0.3448,0,B,0.3902
CALLWDK9166_MMSI368101060,30,Fishing,call sign,0.0353,0.5075,0.4748,0.4697,0.4502,0.5744,0.28,0,B,0.0046
CALLWDK9211_MMSI368101520,36,Pleasure Craft/Sailing,call sign,0.0534,0.51,0.4093,0.4752,0.9241,0.0998,0,0,B,0.0046
CALLWDK9242_MMSI368101840,36,Pleasure Craft/Sailing,call sign,0.0167,0.505,0.4502,0.4756,0.99,0.31,0.5714,0,B,0.0046
CALLWDK9247_MMSI368101880,36,Pleasure Craft/Sailing,call sign,0.0151,0.5,0.4297,0.473,0.4502,0.31,0.5714,0,B,0.0046
CALLWDK9256_MMSI368101960,69,Passenger,call sign,0.4153,0.5175,0.6752,0.525,0.4502,0.7858,0.1714,0.0,A,0.5217
CALLWDK9260_MMSI368102010,60,Passenger,call sign,0.3967,0.5175,0.4474,0.4758,0.4502,0.8581,0.375,0.0,A,0.0046
CALLWDK9264_MMSI368102050,99,Other,call sign,0.1126,0.505,0.4066,0.4757,0.4502,0.0998,0,0.0,A,0.0046
CALLWDK9270_MMSI368102110,30,Fishing,call sign,0.4597,0.515,0.3726,0.4687,0.4502,0.475,0.2857,0,B,0.0046
CALLWDK9292_MMSI368102240,30,Fishing,call sign,0.0776,0.51,0.3818,0.4945,0.4502,0.4013,0.2778,0,B,0.0046
CALLWDK9302_MMSI368102350,52,Unknown,call sign,0.009,0.495,0.3457,0.469,0.4502,0.4013,0.5,3.0,A,0.0046
CALLWDK9303_MMSI368102360,57,Other,call sign,0.9517,0.52,0.4415,0.4837,0.4502,0.5,0.4545,2.7,A,0.0046
CALLWDK9314_MMSI368102470,52,Unknown,call sign,0.6848,0.5175,0.4256,0.4806,0.4502,0.475,0.4286,2.5,A,0.0046
CALLWDK9315_MMSI368102480,99,Other,call sign,0.0288,0.5075,0.4988,0.4746,0.4502,0.69,0.3,0.0,A,0.0046
